ID,Sachgebiet,Frage,Antwort Nr. 1,Antwort Nr. 2,Antwort Nr. 3,Richtige Antwort = Nr.
863,"Jagdbetrieb, Hege und Brauchtum","Ein Jagdgast hat 3 Frischlinge erlegt. Der Jagdbeziksinhaber möchte einen Frischling für sich behalten, den zweiten dem Erleger schenken und den dritten an einen Gastwirt verkaufen. Welche Frischlinge unterliegen der Pflicht zur Trichinenschau?",Nur der an den Gastwirt zu verkaufende Frischling.,Alle drei Frischlinge.,"Nur die Frischlinge, die er verschenkt und verkauft.",2
864,"Jagdbetrieb, Hege und Brauchtum",Zur Feststellung eines Trichinenbefalls untersucht man,Proben vom Zwerchfellpfeiler und von der Vorderlaufmuskulatur,Proben von der Leber und Gallenblase,Proben vom Pansen und vom Milzpfeiler,1
865,"Jagdbetrieb, Hege und Brauchtum",Welche Aussage trifft auf ein als Fallwild aufgefundenes Stück Rehwild zu?,Es ist generell als genussuntauglich anzusehen.,Es ist grundsätzlich als genusstauglich anzusehen.,Das Stück ist bei der Ordnungsbehörde abzuliefern.,1
867,"Jagdbetrieb, Hege und Brauchtum","Darf das Wildbret eines Rehes ohne amtliche Fleischuntersuchung zum eigenen Verbrauch verwendet werden, wenn beim Aufbrechen ein Leberegelbefall festgestellt wurde und sonst keine gesundheitlich bedenklichen Merkmale vorliegen?",Ja,Nein,"Ja, aber nur als Hundefutter.",1
868,"Jagdbetrieb, Hege und Brauchtum",Wodurch wird beim Rehbock Perückenbildung ausgelöst?,Verletzung der Brunftkugeln,Laufverletzungen,Borelliose,1
869,"Jagdbetrieb, Hege und Brauchtum",Welche der nachgenannten Aussagen zur Borelliose ist richtig?,Die Borelliose kann von Zecken auf den Menschen übertragen werden,Gegen die Borelliose beim Menschen gibt es in Deutschland einen gut wirksamen Impfstoff,"Da die Borellioseerkrankung maximal nur die Symptome einer Grippeinfektion zeigt, ist sie keine beachtenswerte Erkrankung",1
870,"Jagdbetrieb, Hege und Brauchtum",Welche Seuche befällt sowohl das Wildschwein als auch das Hausschwein?,Schweinepest,Myxomatose,Varroatose,1
872,"Jagdbetrieb, Hege und Brauchtum",Wie kommen die Larven der Hautdasselfliege in den Wildkörper?,Sie bohren sich durch die Decke ein,Sie werden mit der Äsung aufgenommen,Sie werden von der Hautdasselfliege in den Windfang gespritzt,1
873,"Jagdbetrieb, Hege und Brauchtum",Wie erfolgt beim Schalenwild die Ansteckung mit Magen- und Darmwürmern?,Durch Aufnahme von Larven mit der Äsung,Durch Befall mit der Hirschlausfliege,Beim Beschlag,1
874,"Jagdbetrieb, Hege und Brauchtum",In welchem Teil des Körpers entwickeln sich im Zwischenwirt normalerweise die Finnen des Kleinen Fuchsbandwurmes?,Leber,Zwerchfell,Lunge,1
876,"Jagdbetrieb, Hege und Brauchtum",Welcher Körperteil des Fuchses wird zur mikroskopischen Untersuchung auf Tollwutbefall verwendet?,Gehirn,Leber,Zwerchfell,1
877,"Jagdbetrieb, Hege und Brauchtum",Welche der nachgenannten Merkmale lassen beim Rehwild auf Befall mit Darmwürmern schließen?,Mit Losung verschmutzter Spiegel,Häufiges Husten,durch häufiges Kopfschütteln,1
878,"Jagdbetrieb, Hege und Brauchtum",Unter den Wildkaninchen eines Jagdbezirkes wird das Auftreten von Myxomatose beobachtet. Welche Aussage ist richtig?,Durch sofortige scharfe Bejagung wird eine Verringerung des Kaninchenbesatzes erreicht und damit die Wahrscheinlichkeit einer Ausbreitung der Seuche gemindert,"Durch Impfen einzelner, zu diesem Zweck eingefangener Kaninchen wird die Weiterverbreitung der Seuche wirksam verhindert",Durch Einstellen der Jagd auf Kaninchen können die Verluste durch die Seuche ausgeglichen werden,1
879,"Jagdbetrieb, Hege und Brauchtum",Welche Wildart besitzt keine Gallenblase?,Rehwild,Muffelwild,Schwarzwild,1
880,"Jagdbetrieb, Hege und Brauchtum",Ein erlegtes Stück Rotwild weist einen geschwollenen verfärbter Lecker auf. Welche Krankheit liegt in der Regel vor?,Blauzungenkrankheit,Tollwut,Rachendasselbefall,1
882,"Jagdbetrieb, Hege und Brauchtum",Tollwut und Schweinepest sind:,anzeigepflichtige Wildseuchen,"Wildkrankheiten, die beim Schalenwild in der freien Wildbahn medikamentös behandelt werden",endoparasitäre Krankheiten bei Füchsen und Hausschweinen,1
883,"Jagdbetrieb, Hege und Brauchtum",Was versteht der Jäger unter Fleischreifung?,Veränderung des pH Wertes des Wildbrets,Wildbret von alten Stücken,Einpökeln des Wildbrets,1
884,"Jagdbetrieb, Hege und Brauchtum",Durch welchen Erreger wird die Tollwut hervorgerufen?,Viren,Bakterien,Zecken,1
885,"Jagdbetrieb, Hege und Brauchtum",Die inneren Organe eines frisch aufgebrochenen Rehbockes weisen wucherartige Veränderungen auf. Darf das Wildbret ohne weiteres verzehrt werden?,nein,ja,"ja, aber nur in Gasthöfen",1
886,"Jagdbetrieb, Hege und Brauchtum",Welches Wild wird abgeschwartet?,Dachs,Feldhase,Gamswild,1
888,"Jagdbetrieb, Hege und Brauchtum",Welches Krankheitsbild wirkt sich in Thüringen besonders gefährdend auf den Muffelwildbestand aus?,Moderhinke,Rachenbremsen,Staphylokokkose,1
889,"Jagdbetrieb, Hege und Brauchtum",Welche Aussage zur Afrikanischen Schweinepest ist richtig?,Die Virusinfektion ist für Haus- und Wildschwein in der Regel tödlich.,Die Virusinfektion ist für Haus- und Wildschwein sowie den Menschen in der Regel tödlich.,Die Virusinfektion ist durch Impfung zu bekämpfen.,1
890,"Jagdbetrieb, Hege und Brauchtum","Wie hat der Jagdausübungsberechtigte in seinem Jagdbezirk mit Fallwild, welches dem Jagdrecht unterliegt, zu verfahren?",Fallwild kann grundsätzlich in der Natur verbleiben. Der Jagdausübungsberechtig te hat jedoch das Recht zur Aneignung.,Der Jagdausübungsberechtig te hat die Pflicht zur Aneignung und Entsorgung von Fallwild.,Fallwild muss immer von einem Tierarzt zur genauen Todesursache untersucht werden.,1
891,"Jagdbetrieb, Hege und Brauchtum",Welche Gebiete sind zur Einschleppung und Verbreitung der Vogelgrippe durch Wildvögel besonders prädestiniert?,Gewässer und Rastplätze,Der Hochwald,Heiden,1
938,"Jagdbetrieb, Hege und Brauchtum",Welche der angeführten Maßnahmen beinhaltet der Jagdschutz?,"Schutz des Wildes vor Wilderern, Futternot, Wildseuchen, wildernden Hunden und Katzen",Aufstellen von Schutzvorrichtungen zur Wildschadensabwehr,Verwendung brauchbarer Jagdhunde,1
941,"Jagdbetrieb, Hege und Brauchtum","Muss ein erlegter Rehbock nur deshalb, weil er ein Perückengeweih hat, einer amtlichen Fleischuntersuchung zugeführt werden?",Ja,Nein,"Ja, aber nur unter 15 kg Körpergewicht",2
942,"Jagdbetrieb, Hege und Brauchtum",Welche Tierarten unterliegen vor dem menschlichem Verzehr der Trichinenuntersuchungspflicht?,"Wildschwein, Dachs, Nutria","Dachs, Wisent","Wildschwein, Elch",1
976,"Jagdbetrieb, Hege und Brauchtum",Wo sind in Thüringen die unteren Jagdbehörden angesiedelt?,bei den Gemeinden,bei den Landkreisen und kreisfreien Städten,bei den Landwirtschaftsämtern,2
1024,"Jagdbetrieb, Hege und Brauchtum",Bei welcher der nachgenannten Gefahrenlagen ist nach der Unfallverhütungsvorschrift Jagd (VSG 4.4) die Schusswaffe zu entladen?,Überwinden von Hindernissen,Schlechte Wetterverhältnisse,Pirschen im Hochgebirge,1
1025,"Jagdbetrieb, Hege und Brauchtum",Welche Vorschrift enthält die Unfallverhütungsvorschrift Jagd (VSG 4.4) über das Schießen mit Büchsenoder Flintenlaufgeschossen bei Gesellschaftsjagden in das Treiben hinein?,"Die Schützen dürfen nur in das Treiben hineinschießen, wenn der Jagdleiter dies genehmigt hat und eine Gefährdung ausgeschlossen ist",Die Schützen dürfen in das Treiben nach eigenem Ermessen hineinschießen,Das Hineinschießen in das Treiben ist ausnahmslos verboten,1
1080,"Jagdbetrieb, Hege und Brauchtum",Warum soll ein Geschoss im Jagdgebrauch einen Ausschuss liefern?,Damit der Wildkörper schneller abkühlt,Damit eine Metallkontamination des Wildbrets verhindert wird,Damit die Schussverletzung des Wildes eine deutliche Schweißfährte liefert,3
1139,"Jagdbetrieb, Hege und Brauchtum",Welche der genannten Büchsenpatronen ist eine sogenannte Schonzeitpatrone?,.22 Winchester Magnum,"6,5 x 57",7 x 65 R,1
1144,"Jagdbetrieb, Hege und Brauchtum","Bei welcher Entfernung passt ein ausgewachsenes Stück Rehwild vom Stich bis zum Spiegel zwischen die waagerechten Balken eines Absehens 1, das sich in der Objektivbildebene des Zielfernrohres befindet?",100 m,50 m,150 m,1
1155,"Jagdbetrieb, Hege und Brauchtum",Wie müssen Sie Flintenlaufgeschosse und Schrotpatronen bei der Jagdausübung mitführen?,So dass eine Verwechslung ausgeschlossen ist.,Diese kann ich ohne Trennung mit den Schrotpatronen mitführen.,Ich kann nur Schrotpatronen oder Flintenlaufgeschosse mitführen.,1
1176,"Jagdbetrieb, Hege und Brauchtum",Eine stickige Reifung des Wildbrets wird verursacht durch...,Pansenschuss.,Schimmelpilz.,ungenügendes Auskühlen.,3
1180,"Jagdbetrieb, Hege und Brauchtum",Welche Aussage ist zutreffend?,Tularämie ist keine Zoonose.,Erreger des Strahlenpilzes ist ein Bakterium.,Der Große Leberegel kommt nur beim Rehwild vor.,2
81,Recht,Das in den Verkehrbringen von Wildbret des Schwarzwildes ohne nachgewiesene Trichinenuntersuchung ist:,eine Straftat,eine Ordnungswidrigkeit,ein Verstoß gegen jagdrechtliche Bestimmungen,1
82,Recht,Welche Tierart unterliegt in Thüringen nicht dem Jagdrecht?,Mink,Sumpfbiber,Sumpfbiber,3
83,Recht,"Darf auf forstwirtschaftlichen Kulturflächen, die zum Schutz gegen Wildverbiss eingezäunt sind, die Jagd ausgeübt werden?",Ja.,Nein.,"Ja, aber erst nach schriftlicher Genehmigung der unteren Jagdbehörde.",1
90,Recht,Welches tot aufgefundene Tier darf der zuständige Jagdbezirksinhaber sich nicht ohne Weiteres aneignen?,Feldsperling,Waldschnepfe,Blässralle,1
91,Recht,Welches Tun gehört zum Recht des freien Betretens der Landschaft?,Fahren mit Kraftfahrzeugen auf Wald- und Feldwegen.,Aufstellen von Wohnwagen und Zelten.,Betreten des Waldes.,3
92,Recht,Sie finden in ihrem Jagdbezirk einen,Ja,Nein,"Ja, aber nur weidgerecht",2
93,Recht,Wann ist Nachtzeit im Sinne des Bundesjagdgesetzes?,täglich von 22:00 bis 6:00 Uhr,"1,5 Stunden nach Sonnenuntergang bis 1,5 Stunden vor Sonnenaufgang","1,5 Stunden vor Sonnenuntergang bis 1,5 Stunden nach Sonnenaufgang",2
95,Recht,Welche wildlebende Säugetierart zählt nach den naturschutzrechtlichen Bestimmungen zu den besonders geschützten Arten?,Erdmaus,Feldmaus,Eichhörnchen,3
97,Recht,"Ist der Inhaber eines Jugendjagdscheins berechtigt, an einer Treibjagd als Schütze teilzunehmen?","Ja, aber nur in Begleitung des Erziehungsberechtigten, wenn dieser selbst Jagdscheininhaber ist.","Ja, ohne besondere Erlaubnis.",Nein.,3
99,Recht,Wer ist nach dem Jagdgesetz im gemeinschaftlichen Jagdbezirk zum Ersatz des Wildschadens verpflichtet?,Jagdgenossenschaft,Gemeinde,Jagdpächter,1
100,Recht,Bei welcher Institution sind der,untere Jagdbehörde,oberste Jagdbehörde,Gemeindeverwaltung,1
102,Recht,Das Erlegen eines Alttieres vor dem Kalb im Juli ist:,zulässig,eine Ordnungswidrigkeit,eine Straftat,3
103,Recht,Nennen Sie die Jagdzeit für einjährige weibliche Rehe in Thüringen?,vom 1. September bis 15. Januar,vom 1. Mai bis 16. Oktober,vom 1. April bis 15. Januar,3
104,Recht,Darf zur Jagdausübung auf den Rehbock mit elektronischen Aufzeichnungen von Wild-Lockrufen geblattet werden?,Ja.,Nein.,"Nein, lediglich mit den vom Deutschen Jagdverband zertifizierten und elektronisch aufgezeichneten WildLockrufen darf noch geblattet werden.",2
105,Recht,"Sind Jagdausübungsberechtigte benachbarter Jagdbezirke in Thüringen verpflichtet, die Wildfolge zu vereinbaren?","Ja, die benachbarten Jagdausübungsberechtigten müssen in jedem Fall eine schriftliche Vereinbarung zur Wildfolge abschließen.","Nein, denn die Wildfolge ist gesetzlich geregelt. Die betreffenden Jagdausübungsberechtigten können zusätzlich eine weiterführende schriftliche Wildfolgevereinbarung abschließen.","Ja, eine mündliche Vereinbarung reicht, wenn diese von mindestens zwei weiteren Personen bezeugt werden kann.",2
106,Recht,Welches Wild darf zur Nachtzeit bejagt werden?,Rehwild,Schwarzwild,Fasan,2
107,Recht,Welche Wildarten dürfen nach dem Bundesjagdgesetz nicht ausgesetzt werden?,Rot- und Damwild,Auerwild und Birkwild,Schwarzwild und Wildkaninchen,3
108,Recht,"Wer ist Jagdausübungsberechtigter in einem Gemeinschaftsjagdbezirk, wenn die Jagdgenossenschaft die Jagd durch einen angestellten Jäger ausüben lässt?",die Jagdgenossenschaft,der angestellte Jäger,die Gemeinde,1
110,Recht,Was ist im jagdrechtlichen Sinne unter Jagdausübung zu verstehen?,nur das Erlegen von Wild,nur das Erlegen und Fangen von Wild,"das Aufsuchen, Nachstellen, Erlegen und Fangen von Wild",3
111,Recht,Ein Kraftfahrzeugfahrer fährt ein Reh tot und nimmt das Stück mit zu sich nach Hause. Welcher Tatbestand liegt vor?,Jagdwilderei nach § 292 Strafgesetzbuch,Straftat nach § 38 Bundesjagdgesetz,Ordnungswidrigkeit nach § 39 Bundesjagdgesetz,1
112,Recht,In welchem Umkreis von Fütterungen darf Schalenwild in Notzeiten in Thüringen nicht erlegt werden?,250 m,300 m,In der Notzeit ruht die Jagd auf sämtliches Wild.,3
114,Recht,Innerhalb welcher Frist ist Wildschaden an einem landwirtschaftlich genutzten Grundstück anzuzeigen?,sofort,innerhalb einer Woche nach Kenntnisnahme,bis zum letzten Kalendertag des laufenden Monats,2
117,Recht,In welche Gruppen unterteilt das Bundesjagdgesetz die dem Jagdrecht unterliegenden Tierarten?,"Cerviden, Boviden und Vögel","Schalenwild, Raubwild, Raubzeug und Wasserwild",Haarwild und Federwild mit Zuordnung zum Schalenwild sowie zum Hoch- und Niederwild,3
118,Recht,Können juristische Personen Jagdgenosse sein?,"Ja, wenn sie Grundeigentümer sind.","Nein, nur natürliche Personen können Jagdgenosse sein.","Ja, aber nur, wenn sie der Notvorstand dazu beruft.",1
119,Recht,"Sie schießen einen Rehbock mit einem offenen Knochenbruch, der mit der Erlegung nichts zu tun hat. Unterliegt dieser Rehbock der amtlichen Fleischuntersuchung?",Ja.,Nein.,"Ja, aber nur bei Fremdverwertung.",1
120,Recht,Ihr Jagdhund ist unheilbar krank. Welche Aussage ist richtig?,Sie dürfen den Hund auf Ihrem Grundstück ohne weiteres mit einer geeigneten Jagdwaffe töten.,"Sie bringen den Hund zum Tierarzt, damit er dort eingeschläfert werden kann.",Ein befreundeter Jagdscheininhaber darf den Hund im Jagdbezirk erschießen.,2
121,Recht,Welche Aussage ist richtig?,Die Verurteilung aufgrund einer Straftat gegen tierschutzrechtliche Vorschriften führt generell zum Entzug des Jagdscheines.,"Liegt keine ausreichende Jagdhaftpflichtversicherung vor, ist der Jagdschein zu versagen.",Lediglich waffenrechtliche Verstöße führen zum Entzug des Jagdscheines.,2
122,Recht,Was versteht man unter sogenannte Fauna-Flora-Habitat - Gebiete (FFH - Gebiete)?,besondere Schutzgebiete nach der EU-Richtlinie zur Erhaltung der natürlichen Lebensräume sowie der wildlebenden Tiere und Pflanzen,Flächen von Gemeinschaftsjagdbezirk en mit rein landwirtschaftlicher Nutzung,"Flächen in Thüringen, die in das Schutzwaldverzeichnis bei der unteren Forstbehörde eingetragen sind",1
124,Recht,Dürfen Sie ein bewohntes Hornissennest in Ihrer Kanzel ohne Weiteres beseitigen?,Ja,"Ja, aber erst nach dem 1. August",Nein,3
238,Recht,Eine neu angelegte Wildwiese wird von einem Maulwurf stark zerwühlt. Dürfen Sie diesen Maulwurf ohne behördliche Erlaubnis fangen und töten?,Ja,Nein,"Ja, aber nur außerhalb von Naturschutzgebieten",2
239,Recht,Ein Jagdbezirksinhaber findet in seinem Jagdbezirk einen verendeten Uhu. Darf er ihn sich aneignen und für private Zwecke präparieren lassen?,Ja,Nein,"Ja, aber nur zur Hüttenjagd",2
240,Recht,"Darf ein Revierinhaber, der ein ausgemähtes Fasanengelege hat ausbrüten lassen, zwecks Aufzucht der Küken Eier der Roten Waldameise sammeln und verfüttern?",Ja,"Ja, aber nur einmal jährlich je Ameisenhügel",Nein,3
241,Recht,Welche Aussage zum Reiten im Wald ist richtig?,In lichten Waldbeständen darf auch abseits der Wege und Straßen geritten werden,"Reiten ist auf dafür geeigneten, festen und befestigten Wegen sowie Straßen, auf denen forstwirtschaftliche Maßnahmen nicht stattfinden, gestattet.",Das Reiten im Wald ist grundsätzlich auch abseits von Wegen gestattet.,2
242,Recht,Welche Aussage zum Verhalten im Wald ist falsch?,"Wer unbefugt in einem fremden Wald Vorrichtungen, die zum Schutz verhängter Waldorte (Kulturzaun) dienen, unwirksam macht, begeht eine Ordnungswidrigkeit","Wer in einem fremden Wald für seinen persönlichen Verzehr Pilze sammelt, begeht eine Ordnungswidrigkeit","Wer unbefugt in einem fremden Wald zeltet, begeht eine Ordnungswidrigkeit",2
243,Recht,"Warum ist es verboten, Hecken in der Zeit vom 1. März bis 30. September abzuschneiden oder auf den Stock zu setzen?",Um das Brutgeschäft der Vögel nicht zu stören,Um das Landschaftsbild nicht zu beeinträchtigen,Um die Feldbestellung nicht zu behindern,1
246,Recht,Welche der nachgenannten Aussage zu gesetzlich geschützten Biotopen ist falsch?,"Maßnahmen, die zu einer Zerstörung oder sonstigen erheblichen oder nachhaltigen Beeinträchtigung ökologisch besonders wertvoller Biotope führen können, sind unzulässig","Gesetzlich geschützte Biotope sind u. a. Moore, Sümpfe, Röhrichte, seggen- oder binsenreiche Nasswiesen, Pfeifengraswiesen, Quellbereiche, Magerrasen und Heiden",Die Anlage von Wildäckern auf gesetzlich geschützten Biotopen ist zulässig,3
247,Recht,Welche Aussage zu Feuchtbiotopen ist richtig?,Feuchtbiotope (Tümpelund Sumpfgebiete) sind grundsätzlich zu erhalten,"Feuchtbiotope sind trockenzulegen, da sich dort verstärkt krankheitsübertragende Mücken vermehren und als Produktionsfläche für die Landwirtschaft benötigt werden",Feuchtbiotope stehen immer im Zusammenhang mit offenen Gewässern,1
256,Recht,"Ist es zulässig, dass ein Waldbesitzer seine Waldfläche rodet und abbrennt?","Ja, aber nur wenn die Fläche anschließend landwirtschaftlich genutzt werden soll",Nein,"Ja, denn er hat das Grundrecht inne",2
257,Recht,"Ein Grundeigentümer beabsichtigt, in der freien Natur eine Hecke einschließlich ihrer Wurzeln zu beseitigen, um seine landwirtschaftliche Nutzfläche zu erweitern. Ist diese Rodung nach dem Naturschutzrecht grundsätzlich erlaubt?","Ja, weil auch die Rodung von Hecken zur landwirtschaftlichen Nutzung gehört","Ja, aber nur außerhalb der Vegetationszeit",Nein,3
258,Recht,"In welchem Zeitraum ist es verboten, Hecken und lebende Zäune abzuschneiden oder auf den Stock zu setzen?",1. März bis 30. September,1. April bis 31. Oktober,1. Oktober bis 1. Mai,1
270,Recht,Was ist eine Rote Liste?,Verzeichnis über Umweltsünder.,Bußgeldkatalog für Verstöße gegen Naturschutzvorschriften.,Übersicht über gefährdete Pflanzen und Tiere eines Gebietes.,3
278,Recht,Was ist eine invasive Art?,"Eine fremde, unbedeutende Art",Eine willkommene Bereicherung für das Ökosystem,"Eine gebietsfremde Art mit hohem Ausbreitungsvermögen, welche nachteilige Auswirkungen auf die Biodiversität (Verdrängung heimischer Arten) hat",3
279,Recht,Welche Art ist invasiv?,Waschbär,Wolf,Mufflon,1
292,Recht,Darf der Grundstückseigentümer zur Verhütung von Wildschäden Wild von seinem Grundstück verscheuchen?,Ja,Nein,"Ja, aber nur außerhalb von Natur- und Landschaftsschutzgebieten",1
294,Recht,"Zu welchen im Bundesjagdgesetz vorgegebenen Terminen eines Jahres müssen spätestens Wildschäden an forstwirtschaftlich genutzten Grundstücken angemeldet werden, um den Ersatz des Schadens erlangen zu können?",1. Januar und 10. Oktober,1. April und 1. November,1. Mai und 1. Oktober,3
